seq_id,map_rate
S1,0.91
S10,0.91
S11,0.91
S12,0.88
S13,0.91
S14,0.89
S15,0.88
S16,0.89
S17,0.92
S18,0.91
S19,0.87
S2,0.88
S20,0.91
S21,0.91
S22,0.91
S23,0.91
S24,0.91
S25,0.91
S26,0.91
S27,0.91
S28,0.92
S29,0.91
S3,0.91
S30,0.87
S31,0.91
S32,0.91
S320,0.91
S321,0.88
S322,0.91
S323,0.91
S324,0.88
S325,0.91
S326,0.88
S327,0.90
S328,0.91
S329,0.91
S33,0.88
S330,0.91
S331,0.88
S332,0.91
S333,0.88
S334,0.88
S335,0.89
S336,0.91
S337,0.91
S338,0.87
S339,0.91
S34,0.90
S340,0.90
S341,0.91
S342,0.91
S343,0.91
S344,0.91
S345,0.91
S346,0.91
S347,0.91
S348,0.91
S349,0.87
S35,0.91
S350,0.91
S351,0.91
S352,0.88
S353,0.90
S354,0.91
S355,0.88
S356,0.91
S357,0.91
S358,0.91
S359,0.88
S36,0.89
S37,0.92
S38,0.91
S39,0.91
S4,0.91
S40,0.89
S5,0.88
S6,0.91
S7,0.89
S8,0.90
S9,0.91
