Sample,RunSample,Customer_Code
WA01,S320,4190
WA02,S328,1119
WA03,S336,6015
WA04,S344,4118
WA05,S352,4376a
WB01,S321,5506
WB02,S329,6024
WB03,S337,4216
WB04,S345,4220
WB05,S353,1081
WC01,S322,1129
WC02,S330,4223
WC03,S338,4229
WC04,S346,1043
WC05,S354,6029
WD01,S323,1130
WD02,S331,2899a
WD03,S339,1116
WD04,S347,6012
WD05,S355,5502c
WE01,S324,cord5
WE02,S332,4224
WE03,S340,4110
WE04,S348,4207
WE05,S356,2003
WF01,S325,4246
WF02,S333,2897a
WF03,S341,1051
WF04,S349,5504
WF05,S357,1059
WG01,S326,cord3
WG02,S334,5500
WG03,S342,4505
WG04,S350,2025
WG05,S358,4241
WH01,S327,1056
WH02,S335,1128
WH03,S343,4112
WH04,S351,4507
WH05,S359,5509
WA01,S1,4190
WA02,S9,1119
WA03,S17,6015
WA04,S25,4118
WA05,S33,4376a
WB01,S2,5506
WB02,S10,6024
WB03,S18,4216
WB04,S26,4220
WB05,S34,1081
WC01,S3,1129
WC02,S11,4223
WC03,S19,4229
WC04,S27,1043
WC05,S35,6029
WD01,S4,1130
WD02,S12,2899a
WD03,S20,1116
WD04,S28,6012
WD05,S36,5502c
WE01,S5,cord5
WE02,S13,4224
WE03,S21,4110
WE04,S29,4207
WE05,S37,2003
WF01,S6,4246
WF02,S14,2897a
WF03,S22,1051
WF04,S30,5504
WF05,S38,1059
WG01,S7,cord3
WG02,S15,5500
WG03,S23,4505
WG04,S31,2025
WG05,S39,4241
WH01,S8,1056
WH02,S16,1128
WH03,S24,4112
WH04,S32,4507
WH05,S40,5509
